‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
         0	0.01980256	-0.03366923	0.00434084	-0.00113519	
         0	0.01915833	-0.02207294	0.00273024	-0.00371214	
         1	0.01239382	-0.00951029	0.00240812	-0.00371214	
         2	0.00756203	0.00015329	-0.00113519	-0.00725545	
         3	0.00305236	0.00885051	-0.00016883	-0.00500062	
         4	0.00691779	-0.00016883	-0.00113519	-0.00242366	
         5	0.00337448	-0.01498631	0.00047541	0.00015329	
         6	-0.00210154	-0.02142870	-0.00177943	-0.00081307	
         7	0.00434084	-0.03141439	-0.00339002	-0.00081307	
         8	0.01078323	-0.02658261	-0.00145731	-0.00242366	
         9	0.00015329	0.01110534	-0.00016883	0.00208601	
        10	-0.00113519	0.00176389	-0.00532274	0.00015329	
        11	-0.00145731	0.00723991	-0.00403426	-0.00113519	
        12	-0.00145731	0.01625925	-0.00242366	0.00176389	
        13	-0.00371214	0.00659567	-0.00339002	0.00144177	
        14	-0.00693333	0.01625925	-0.00145731	0.00530720	
        15	-0.00886605	0.01819197	-0.00274578	0.00144177	
        16	-0.00886605	0.01915833	-0.00113519	0.00434084	
        17	-0.00725545	0.02109104	0.00305236	0.00498508	
        18	-0.00693333	-0.02819320	0.00240812	0.00369660	
        19	-0.00210154	-0.04075585	0.00240812	-0.00016883	
        20	-0.00500062	-0.00596698	0.00498508	0.00176389	
        21	-0.00242366	-0.01627479	0.00273024	-0.00177943	
        22	-0.00081307	-0.02142870	-0.00049095	-0.00081307	
        23	-0.00113519	-0.00983241	0.00337448	0.00047541	
        24	-0.00339002	-0.01144300	-0.00016883	0.00111965	
        25	-0.00145731	0.00434084	-0.00081307	-0.00177943	
        26	-0.00306790	0.00273024	-0.00210154	0.00401872	
        27	-0.00339002	-0.00725545	-0.00242366	-0.00049095	
        28	-0.00145731	-0.00596698	-0.00113519	-0.00467850	
        29	-0.00081307	0.02817766	-0.00049095	-0.00210154	
        30	-0.00081307	0.02044680	-0.00371214	-0.00210154	
        31	0.00047541	0.01432654	-0.00049095	-0.00532274	
        32	0.00466296	0.03075462	-0.00242366	0.00627356	
        33	0.00176389	0.06618774	-0.00242366	0.00401872	
        34	-0.00113519	0.06071171	-0.00242366	0.00208601	
        35	-0.00113519	0.01625925	-0.00049095	-0.00049095	
        36	0.00111965	-0.01047664	-0.00210154	-0.00049095	
        37	-0.00371214	-0.00306790	-0.00435638	0.00820627	
        38	-0.00210154	-0.01337572	-0.00403426	0.00369660	
        39	-0.01434208	-0.02400565	0.00369660	0.00208601	
        40	-0.00983241	-0.00081307	0.00176389	0.00305236	
        41	-0.00242366	-0.00693333	-0.00016883	-0.00049095	
        42	-0.00113519	-0.03527983	0.00369660	-0.00081307	
        43	-0.00210154	-0.03463559	0.00466296	-0.00049095	
        44	0.00144177	-0.00822181	0.00337448	0.00015329	
        45	-0.00049095	0.01883621	-0.00016883	-0.00049095	
        46	-0.00016883	-0.00306790	-0.00145731	-0.00274578	
        47	0.00176389	-0.01466419	-0.00113519	-0.00339002	
        48	0.00659567	0.00401872	-0.00339002	-0.00177943	
        49	0.00885051	0.00466296	-0.00403426	-0.00339002	
        51	0.01110534	0.01207170	-0.00564486	-0.00145731	
        51	0.01174958	0.00079753	-0.00500062	-0.00145731	
        52	0.01432654	-0.02110658	-0.00596698	-0.00403426	
        53	0.01174958	-0.01434208	-0.00339002	-0.00306790	
        54	0.00562932	0.00015329	-0.00628909	0.00047541	
        55	0.00337448	0.00144177	0.00079753	0.00015329	
        56	0.00047541	0.00595144	0.00691779	0.00047541	
        57	-0.00113519	0.01303806	0.00530720	-0.00016883	
        58	-0.00467850	0.01013899	0.00208601	-0.00274578	
        59	-0.00306790	0.01271594	0.00723991	-0.00145731	
        60	-0.00339002	0.00562932	0.00208601	-0.00274578	
        61	-0.00274578	-0.01208724	-0.00371214	-0.00145731	
        62	-0.00500062	-0.01595267	-0.00113519	0.00466296	
        63	-0.00242366	-0.01691903	-0.00049095	0.00240812	
        64	0.00144177	-0.01981810	-0.00016883	0.00111965	
        65	-0.00049095	0.02721131	0.00337448	-0.00306790	
        66	-0.00049095	0.05137025	0.00305236	-0.00274578	
        67	-0.00371214	0.05137025	0.00176389	-0.00371214	
        68	-0.00435638	0.01915833	-0.00339002	-0.00210154	
        70	-0.00081307	-0.03431347	-0.00467850	-0.00145731	
        71	-0.00016883	-0.03495771	-0.00435638	0.00176389	
        72	-0.00306790	-0.01112088	-0.00177943	0.00079753	
        73	-0.00113519	0.00562932	-0.00274578	0.00337448	
        74	0.00015329	0.02141316	-0.00371214	0.00305236	
        75	-0.00016883	0.01819197	-0.00081307	0.00144177	
        76	-0.00339002	0.01271594	-0.00145731	0.00337448	
        77	-0.00210154	0.00691779	0.00079753	0.00305236	
        78	-0.00339002	-0.01144300	0.00337448	0.00240812	
        79	-0.00435638	-0.01691903	0.00240812	0.00144177	
        80	-0.00081307	-0.01917386	0.00337448	-0.00113519	
        80	0.00015329	-0.01176512	0.00562932	-0.00242366	
        80	-0.00081307	0.00240812	0.00627356	0.00015329	
        82	-0.00210154	0.00466296	0.00498508	-0.00113519	
        83	0.00047541	-0.02175082	-0.00113519	-0.00435638	
        84	0.00144177	-0.03978949	-0.00177943	-0.00371214	
        85	0.00079753	-0.03431347	-0.00016883	-0.00081307	
        86	-0.00177943	0.00498508	0.00144177	-0.00049095	
        87	0.00015329	0.00434084	0.00015329	0.00079753	
        88	0.00176389	0.00208601	-0.00016883	0.00079753	
        89	-0.00177943	0.00530720	-0.00306790	0.00144177	
        90	0.00047541	0.00305236	-0.00113519	-0.00081307	
        91	0.00305236	0.00305236	0.00047541	-0.00049095	
        92	0.00015329	0.01786985	-0.00210154	0.00144177	
        93	-0.00339002	0.01786985	-0.00306790	0.00047541	
        94	-0.01466419	-0.00918817	-0.00274578	-0.00016883	
        95	-0.00081307	-0.03817890	-0.00371214	0.00401872	
        96	0.00369660	-0.02014022	-0.00339002	0.00208601	
        97	0.00691779	-0.00693333	-0.00016883	-0.00306790	
        98	0.00273024	-0.00628909	-0.00274578	-0.00274578	
        99	-0.00081307	-0.01724115	0.00111965	0.00079753	
       100	-0.00081307	-0.02432777	0.00111965	0.00047541	
       101	-0.00242366	-0.02368353	0.00369660	0.00047541	
       102	-0.00403426	-0.01112088	0.00144177	0.00176389	
       103	0.00498508	0.00047541	-0.00371214	-0.00306790	
       104	-0.00242366	0.01593713	-0.00113519	-0.00339002	
       105	-0.00371214	0.04235091	0.00208601	-0.00145731	
       106	-0.00918817	0.04589422	-0.00016883	-0.00210154	
       107	-0.01112088	0.02882190	0.00369660	0.00015329	
       108	-0.00983241	0.03397581	-0.00210154	-0.00081307	
       109	-0.00983241	0.01722561	-0.00242366	-0.00081307	
       110	-0.01659691	-0.00371214	0.00015329	0.00111965	
       111	-0.01788539	0.01271594	-0.00177943	0.00208601	
       112	-0.01273148	0.01110534	0.00015329	0.00305236	
       113	0.00208601	-0.01079876	-0.00661121	0.00047541	
       114	0.00756203	-0.01498631	-0.00628909	-0.00016883	
       115	0.01464866	-0.02626049	-0.00242366	0.00111965	
       116	0.01303806	0.00852839	-0.00210154	0.00240812	
       117	0.01336018	-0.02658261	-0.00177943	0.00047541	
       118	0.01142746	-0.05170791	0.00111965	-0.00274578	
       119	0.01336018	-0.01208724	0.00369660	-0.00339002	
       120	0.00788415	0.00562932	0.00498508	-0.00306790	
       121	0.00466296	0.00498508	0.00337448	-0.00403426	
       122	0.00562932	0.00498508	0.00240812	-0.00371214	
       123	0.00434084	0.00852839	0.00144177	-0.00822181	
       124	0.00530720	0.00756203	-0.00403426	-0.00210154	
       125	0.00240812	0.00723991	-0.00532274	-0.00016883	
       126	-0.00274578	0.00820627	-0.00177943	-0.00210154	
       127	-0.00177943	0.01239382	-0.00145731	0.00337448	
       128	-0.00242366	0.00079753	-0.00145731	0.00917263	
       129	-0.00210154	-0.00242366	-0.00306790	0.00659567	
       130	-0.00210154	-0.00274578	-0.00145731	-0.00467850	
       131	-0.00339002	-0.00177943	-0.00500062	0.00434084	
       132	-0.00242366	0.00498508	-0.00339002	0.00176389	
       133	-0.00210154	0.00369660	-0.00242366	0.00273024	
       134	-0.00145731	0.00401872	-0.00274578	0.00079753	
       135	0.00337448	0.00369660	-0.00113519	0.00401872	
       136	0.00144177	-0.00177943	0.00079753	0.00434084	
       137	-0.00177943	-0.01144300	-0.00339002	0.00369660	
       138	0.00079753	-0.00274578	0.00144177	-0.00113519	
       139	0.00240812	0.02785555	0.00111965	-0.00467850	
       140	0.00273024	0.02109104	0.00466296	-0.00564486	
       141	0.00498508	0.00691779	0.00788415	-0.00822181	
       142	-0.00016883	0.00820627	0.00305236	-0.00725545	
       143	0.00015329	0.00434084	0.00079753	-0.00628909	
       144	-0.00274578	-0.00532274	0.00176389	-0.00564486	
       145	-0.00532274	0.00369660	-0.00016883	-0.00274578	
       146	-0.00435638	-0.00532274	-0.00210154	-0.00113519	
       147	-0.00113519	-0.03238075	-0.00016883	-0.00081307	
       148	-0.00564486	-0.03753466	-0.00177943	0.00047541	
       149	-0.00628909	0.00208601	-0.00242366	0.00176389	
       150	-0.00500062	0.01271594	-0.00306790	-0.00113519	
       151	-0.00177943	0.02366799	-0.00274578	0.00401872	
       152	-0.00467850	0.03816336	-0.00339002	0.00305236	
       153	-0.00918817	0.02592283	-0.00306790	0.00369660	
       154	-0.00886605	0.02817766	-0.00049095	0.00659567	
       155	-0.01079876	0.02366799	-0.00242366	0.00337448	
       156	-0.01047664	0.00949475	0.00079753	0.00401872	
       157	-0.01015453	-0.00339002	-0.00145731	0.00401872	
       158	0.00047541	-0.01627479	0.00144177	0.00176389	
       159	0.00498508	-0.02561625	0.00498508	-0.00210154	
       160	0.00949475	-0.01820751	0.00562932	-0.00210154	
       161	0.01271594	-0.04752036	0.00627356	-0.00274578	
       162	0.01013899	-0.02303929	0.00530720	-0.00306790	
       163	0.00885051	0.00079753	0.00015329	-0.00371214	
       164	0.00820627	0.00756203	-0.00306790	-0.00113519	
       165	0.00434084	-0.00886605	-0.00016883	-0.00403426	
       166	-0.00049095	-0.03656830	-0.00113519	-0.00145731	
       167	-0.01595267	0.00466296	-0.00210154	-0.00210154	
       168	-0.01240936	0.02205740	0.00240812	-0.00081307	
       169	-0.00242366	0.01497078	-0.00500062	0.00240812	
       170	0.00079753	0.02527859	-0.00467850	-0.00081307	
       171	0.00111965	0.01915833	-0.00177943	-0.00081307	
       172	-0.00016883	0.00852839	-0.00661121	0.00144177	
       173	0.00273024	0.00562932	-0.00725545	0.00111965	
       174	0.00498508	-0.02980380	-0.00274578	0.00079753	
       175	0.00820627	-0.03914526	-0.00242366	0.00079753	
       176	0.01174958	-0.02432777	-0.00016883	0.00079753	
       177	0.01078323	-0.01015453	-0.00081307	-0.00016883	
       178	0.00305236	-0.00274578	-0.00145731	-0.00016883	
       179	-0.00467850	0.00401872	0.00176389	0.00047541	
       180	-0.00242366	0.01432654	0.00240812	0.00015329	
       181	0.00627356	-0.01240936	0.00305236	0.00015329	
       182	0.00595144	-0.03044804	0.00434084	-0.00210154	
       183	0.00498508	-0.01530843	0.00305236	-0.00081307	
       184	0.00530720	-0.00339002	0.00240812	-0.00049095	
       185	0.00111965	-0.01144300	0.00208601	0.00111965	
       186	0.00079753	-0.02239506	-0.00081307	0.00079753	
       187	-0.00081307	-0.01273148	-0.00145731	0.00015329	
       188	-0.00049095	0.00079753	-0.00274578	-0.00081307	
       189	-0.00596698	0.00981687	-0.00177943	-0.00113519	
       190	-0.00725545	0.00885051	-0.00500062	0.00176389	
       191	-0.00532274	-0.00049095	-0.00532274	0.00111965	
       192	-0.00532274	-0.00113519	-0.00371214	0.00144177	
       193	-0.00693333	-0.00177943	-0.00274578	0.00176389	
       194	-0.00725545	-0.01627479	-0.00306790	0.00240812	
       195	-0.00725545	-0.00725545	-0.00274578	0.00369660	
       196	-0.01047664	0.00723991	0.00208601	0.00434084	
       197	-0.01208724	0.01722561	0.00047541	0.00401872	
       198	-0.01305360	0.01046111	0.00273024	0.00530720	
       199	-0.01144300	0.02560071	0.00273024	0.00176389	
       200	-0.00918817	0.01851409	0.00208601	0.00111965	
       201	-0.00532274	-0.02658261	0.00401872	0.00047541	
       202	-0.00210154	-0.01659691	0.00273024	-0.00081307	
       203	0.00369660	-0.00757757	0.00111965	-0.00306790	
       204	0.00369660	0.01046111	0.00144177	-0.00403426	
       205	0.00723991	0.02721131	0.00111965	-0.00177943	
       206	0.00981687	0.03880760	0.00079753	-0.00016883	
       207	0.00981687	0.04363939	-0.00177943	-0.00435638	
       208	0.00788415	0.02721131	-0.00049095	-0.00306790	
       209	0.00498508	0.01690349	-0.00403426	-0.00145731	
       210	0.00015329	0.02366799	-0.00564486	0.00047541	
       211	-0.00500062	0.01819197	-0.00435638	0.00273024	
       212	-0.01820751	-0.06104936	-0.00274578	0.00111965	
       213	-0.01047664	-0.06394844	-0.00693333	-0.00242366	
       214	0.00273024	-0.02561625	-0.00371214	-0.00306790	
       215	0.00015329	-0.01240936	-0.00210154	-0.00306790	
       216	0.00079753	-0.03141439	0.00047541	0.00208601	
       217	-0.00049095	-0.02271718	0.00015329	0.00305236	
       218	-0.00145731	0.05104813	0.00176389	0.00498508	
       219	0.00079753	0.08487066	0.00530720	0.00111965	
       220	0.00079753	0.05008177	0.00015329	0.00240812	
       221	0.00595144	0.02624495	0.00176389	-0.01208724	
       222	0.00723991	0.03912972	-0.00016883	0.00111965	
       223	0.00111965	0.01400442	0.00627356	0.00401872	
       224	0.00562932	-0.02658261	0.00176389	-0.00274578	
       225	0.00820627	-0.03978949	0.00176389	-0.00274578	
       226	0.00756203	-0.02915956	0.00111965	-0.00145731	
       227	0.00562932	-0.01240936	0.00015329	0.00079753	
       228	-0.00725545	-0.01176512	-0.00242366	0.00144177	
       229	-0.01337572	-0.00854393	-0.00016883	0.00337448	
       230	-0.01208724	-0.00403426	-0.00210154	0.00756203	
       231	-0.01015453	0.00015329	0.00240812	0.00659567	
       232	-0.00628909	-0.01079876	0.00144177	0.00015329	
       233	-0.00435638	-0.03978949	-0.00049095	-0.00210154	
       234	0.00208601	-0.04365492	-0.00467850	-0.01144300	
       235	0.00562932	-0.02626049	-0.00757757	-0.00693333	
       236	0.00176389	-0.01981810	-0.00210154	-0.00628909	
       237	0.00176389	-0.02207294	-0.00049095	-0.00145731	
       238	0.00208601	0.01142746	-0.00242366	-0.00145731	
       239	0.00079753	0.02721131	-0.00081307	0.00111965	
       240	0.00144177	0.01754773	-0.00049095	-0.00274578	
       241	0.00079753	0.00691779	0.00144177	-0.00467850	
       242	-0.00049095	0.03107674	0.00369660	0.00047541	
       243	0.00176389	0.00015329	0.00530720	-0.00145731	
       244	0.00176389	-0.00177943	0.00434084	-0.00339002	
       245	0.00240812	-0.00628909	0.00530720	-0.00854393	
       246	-0.00113519	0.00852839	-0.00403426	0.00015329	
       247	-0.00145731	0.00820627	-0.00339002	0.00176389	
       248	0.00047541	0.00498508	-0.00145731	0.00176389	
       249	-0.00145731	0.00595144	-0.00145731	-0.00210154	
       250	-0.00145731	0.00176389	-0.00435638	0.00079753	
       251	0.00466296	-0.01788539	-0.00886605	0.00047541	
       252	0.00401872	0.00562932	-0.01112088	-0.00081307	
       253	0.00337448	0.01336018	-0.00564486	-0.00049095	
       254	0.00144177	0.00627356	-0.00500062	0.00401872	
       255	0.00015329	-0.00177943	-0.00371214	0.00305236	
       256	-0.00177943	-0.00113519	-0.00242366	0.00562932	
       257	-0.00371214	-0.00532274	0.00176389	0.00369660	
       258	-0.00306790	-0.00435638	0.00305236	0.00111965	
       259	-0.00403426	-0.00500062	0.00305236	-0.00113519	
       260	-0.00049095	-0.01788539	0.00369660	-0.00016883	
       261	-0.00177943	-0.00242366	0.00466296	0.00176389	
       262	-0.00081307	0.03107674	0.00079753	0.00047541	
       263	-0.00145731	0.03751912	0.00401872	-0.00145731	
       264	-0.00145731	0.03043250	0.00498508	-0.00113519	
       265	-0.00628909	0.00852839	0.00144177	-0.00339002	
       266	-0.01595267	-0.01305360	0.00144177	-0.00177943	
       267	-0.00693333	-0.01917386	0.00240812	-0.00177943	
       268	-0.00693333	-0.00628909	-0.00081307	-0.00113519	
       269	-0.00596698	-0.00242366	-0.00113519	-0.00113519	
       270	-0.00339002	-0.00822181	-0.00177943	-0.00210154	
       271	-0.00274578	-0.01659691	-0.00306790	-0.00016883	
       272	-0.00306790	-0.00500062	-0.00564486	0.00144177	
       273	-0.00177943	-0.01079876	-0.00467850	0.00015329	
       274	0.00401872	-0.02593837	-0.00371214	0.00015329	
       275	0.00369660	-0.02271718	0.00111965	0.00273024	
       276	0.00530720	-0.00628909	-0.00210154	0.00240812	
